id,class
lie1.mp4,deceptive
lie2.mp4,deceptive
lie3.mp4,deceptive
lie4.mp4,deceptive
lie5.mp4,deceptive
lie6.mp4,deceptive
lie7.mp4,deceptive
lie8.mp4,deceptive
lie9.mp4,deceptive
lie10.mp4,deceptive
lie11.mp4,deceptive
lie12.mp4,deceptive
lie13.mp4,deceptive
lie14.mp4,deceptive
lie15.mp4,deceptive
truth1.mp4,truthful
truth2.mp4,truthful
truth3.mp4,truthful
truth4.mp4,truthful
truth5.mp4,truthful
truth6.mp4,truthful
truth7.mp4,truthful
truth8.mp4,truthful
truth9.mp4,truthful
truth10.mp4,truthful
truth11.mp4,truthful
truth12.mp4,truthful
truth13.mp4,truthful
truth14.mp4,truthful
truth15.mp4,truthful
truth16.mp4,truthful
truth17.mp4,truthful
truth18.mp4,truthful
